1	1	1
1	1091339	1091339
1	1455239	1455239
1	1876563	1876563
1	2211811	2211811
1	2530821	2530821
1	2941982	2941982
1	3251514	3251514
1	3562167	3562167
1	4039453	4039453
1	4372510	4372510
1	4689381	4689381
1	5009811	5009811
1	5333265	5333265
1	5646412	5646412
1	5968692	5968692
1	6292613	6292613
1	6646103	6646103
1	6983039	6983039
1	7301992	7301992
1	7622685	7622685
1	7952696	7952696
1	8306738	8306738
1	8643096	8643096
1	8997863	8997863
1	9344869	9344869
1	9694968	9694968
1	10063074	10063074
1	10425796	10425796
1	10763533	10763533
1	11100664	11100664
1	11454254	11454254
1	11784385	11784385
1	12134035	12134035
1	12470857	12470857
1	12804214	12804214
1	14004079	14004079
1	14330019	14330019
1	14650807	14650807
1	14980607	14980607
1	15303908	15303908
1	15633596	15633596
1	15983259	15983259
1	16339683	16339683
1	16695951	16695951
1	17322925	17322925
1	17653173	17653173
1	17998483	17998483
1	18314266	18314266
1	18625927	18625927
1	18942364	18942364
1	19257201	19257201
1	19577979	19577979
1	19920722	19920722
1	20257155	20257155
1	20593920	20593920
1	20917171	20917171
1	21260739	21260739
1	21605608	21605608
1	21977231	21977231
1	22345440	22345440
1	22674576	22674576
1	22991330	22991330
1	23314119	23314119
1	23658164	23658164
1	24008681	24008681
1	24465939	24465939
1	24794009	24794009
1	25150127	25150127
1	25470945	25470945
1	25901635	25901635
1	26232907	26232907
1	26579690	26579690
1	26937234	26937234
1	27301853	27301853
1	27670118	27670118
1	28012251	28012251
1	28371534	28371534
1	28744703	28744703
1	29132364	29132364
1	29489652	29489652
1	29819479	29819479
1	30286127	30286127
1	30599093	30599093
1	30924457	30924457
1	31252333	31252333
1	31591441	31591441
1	31944692	31944692
1	32267227	32267227
1	32629764	32629764
1	32991711	32991711
1	33358779	33358779
1	33705954	33705954
1	34026925	34026925
1	34347192	34347192
1	34666700	34666700
1	34982442	34982442
1	35307402	35307402
1	35666359	35666359
1	36010582	36010582
1	36355145	36355145
1	36703446	36703446
1	37046022	37046022
1	37357649	37357649
1	37668728	37668728
1	38005973	38005973
1	38339644	38339644
1	38684049	38684049
1	39004242	39004242
1	39331614	39331614
1	39703959	39703959
1	40057078	40057078
1	40412486	40412486
1	40763444	40763444
1	41117600	41117600
1	41449031	41449031
1	41786659	41786659
1	42099475	42099475
1	42409257	42409257
1	42746257	42746257
1	43079515	43079515
1	43418100	43418100
1	43765671	43765671
1	44089302	44089302
1	44422092	44422092
1	44749845	44749845
1	45073420	45073420
1	45425586	45425586
1	45796204	45796204
1	46156654	46156654
1	46512668	46512668
1	46873016	46873016
1	47195723	47195723
1	47657840	47657840
